Pathway,Track,Subject Combination,Code
ARTS & SPORTS SCIENCE,SPORTS,"Biology,Geography,Sports & Recreation",AS2009
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Computer Studies,French",SS1006
STEM,TECHNICAL STUDIES,"General Science,Marine & Fisheries,Media Technology",ST3050
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Computer Studies,Geography,Islamic Religious Education",SS2033
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,Geography,Mandarine Chinese",SS2050
STEM,APPLIED SCIENCES,"Business Studies,Computer Studies,Physics",ST2007
STEM,APPLIED SCIENCES,"Agriculture,Building & Construction,Business Studies",ST2045
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Computer Studies,Fasihi ya Kiswahili,Indigenous Language",SS1040
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"General Science,Indigenous Language,Literature in English",SS1060
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,Geography,History & Citizenship",SS2019
ARTS & SPORTS SCIENCE,ARTS,"Computer Studies,Fine Arts,Music & Dance",AS1021
STEM,APPLIED SCIENCES,"Agriculture,Aviation,Geography",ST2070
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Christian Religious Education,Kenya Sign Language",SS1059
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Christian Religious Education,French",SS2112
ARTS & SPORTS SCIENCE,SPORTS,"Biology,Islamic Religious Education,Sports & Recreation",AS2006
ARTS & SPORTS SCIENCE,SPORTS,"Biology,History & Citizenship,Sports & Recreation",AS2011
STEM,TECHNICAL STUDIES,"Aviation,Geography,Physics",ST3121
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Advanced Mathematics,Geography,Hindu Religious Education",SS2055
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,General Science,Kenya Sign Language",SS1037
STEM,TECHNICAL STUDIES,"Computer Studies,General Science,Media Technology",ST3074
STEM,APPLIED SCIENCES,"Agriculture,Computer Studies,Physics",ST2067
STEM,PURE SCIENCES,"Biology,Building & Construction,Chemistry",ST1044